姓名,学院/单位,运动员积分,种子序号
陈子涵,电子信息学院,1840,1
林子睿,经济管理学院,1969,2
黄子彤,公共管理学院,2098,3
张子轩,机械工程学院,1946,4
李子宁,建筑学院,2075,5
王子辰,计算机学院,1923,6
吴子涵,外国语学院,2052,7
刘子睿,体育教学部,1900,8
周子彤,材料科学学院,2029,9
郑子轩,法学院,1877,10
赵子宁,自动化学院,2006,11
何子辰,数学学院,1854,12
孙子涵,计算机学院,1983,13
杨子睿,外国语学院,1831,14
许子彤,体育教学部,1960,15
郭子轩,材料科学学院,1808,16
罗子宁,法学院,1937,17
梁子辰,自动化学院,1785,18
宋子涵,数学学院,1914,19
谢子睿,电子信息学院,1762,20
陈梓睿,经济管理学院,1891,21
林梓彤,公共管理学院,1739,22
黄梓轩,机械工程学院,1868,23
张梓宁,建筑学院,1716,24
李梓辰,自动化学院,1845,
王梓涵,数学学院,1693,
吴梓睿,电子信息学院,1822,
刘梓彤,经济管理学院,1670,
周梓轩,公共管理学院,1799,
郑梓宁,机械工程学院,1647,
赵梓辰,建筑学院,1776,
何梓涵,计算机学院,1624,
孙梓睿,外国语学院,1753,
杨梓彤,体育教学部,1601,
许梓轩,材料科学学院,1730,
郭梓宁,法学院,1578,
罗梓辰,机械工程学院,1707,
梁梓涵,建筑学院,1555,
宋梓睿,计算机学院,1684,
谢梓彤,外国语学院,1532,
陈嘉彤,体育教学部,1661,
林嘉轩,材料科学学院,1790,
黄嘉宁,法学院,1638,
张嘉辰,自动化学院,1767,
李嘉涵,数学学院,1615,
王嘉睿,电子信息学院,1744,
吴嘉彤,经济管理学院,1592,
刘嘉轩,公共管理学院,1721,
周嘉宁,材料科学学院,1569,
郑嘉辰,法学院,1698,
赵嘉涵,自动化学院,1546,
何嘉睿,数学学院,1675,
孙嘉彤,电子信息学院,1523,
杨嘉轩,经济管理学院,1652,
许嘉宁,公共管理学院,1500,
郭嘉辰,机械工程学院,1629,
罗嘉涵,建筑学院,1477,
梁嘉睿,计算机学院,1606,
宋嘉彤,外国语学院,1454,
谢嘉轩,体育教学部,1583,
陈思轩,经济管理学院,1431,
林思宁,公共管理学院,1560,
黄思辰,机械工程学院,1408,
张思涵,建筑学院,1537,
李思睿,计算机学院,1385,
王思彤,外国语学院,1514,
吴思轩,体育教学部,1362,
刘思宁,材料科学学院,1491,
周思辰,法学院,1339,
郑思涵,自动化学院,1468,
赵思睿,数学学院,1316,
何思彤,电子信息学院,1445,
孙思轩,外国语学院,1293,
杨思宁,体育教学部,1422,
许思辰,材料科学学院,1270,
郭思涵,法学院,1399,
罗思睿,自动化学院,1247,
梁思彤,数学学院,1376,
宋思轩,电子信息学院,1224,
谢思宁,经济管理学院,1353,
陈宇宁,公共管理学院,1201,
林宇辰,机械工程学院,1330,
黄宇涵,建筑学院,1459,
张宇睿,计算机学院,1307,
李宇彤,数学学院,1436,
王宇轩,电子信息学院,1284,
吴宇宁,经济管理学院,1413,
刘宇辰,公共管理学院,1261,
周宇涵,机械工程学院,1390,
郑宇睿,建筑学院,1238,
赵宇彤,计算机学院,1367,
何宇轩,外国语学院,1215,
孙宇宁,体育教学部,1344,
杨宇辰,材料科学学院,1192,
许宇涵,法学院,1321,
郭宇睿,自动化学院,1169,
罗宇彤,建筑学院,1298,
梁宇轩,计算机学院,1146,
宋宇宁,外国语学院,1275,
谢宇辰,体育教学部,1123,
陈雨辰,材料科学学院,1252,
林雨涵,法学院,1100,
黄雨睿,自动化学院,1229,
张雨彤,数学学院,1077,
李雨轩,电子信息学院,1206,
王雨宁,经济管理学院,1054,
吴雨辰,公共管理学院,1183,
刘雨涵,机械工程学院,1031,
周雨睿,法学院,1160,
郑雨彤,自动化学院,1008,
赵雨轩,数学学院,1137,
何雨宁,电子信息学院,985,
孙雨辰,经济管理学院,1114,
杨雨涵,公共管理学院,962,
许雨睿,机械工程学院,1091,
郭雨彤,建筑学院,939,
罗雨轩,计算机学院,1068,
梁雨宁,外国语学院,916,
宋雨辰,体育教学部,1045,
谢雨涵,材料科学学院,893,
